TimeStamp,MaxX,MaxY,MaxMagnitude,MinMagnitude,AverageMagnitude,DiffMagnitude,MaxTiltAngleX,AverageTiltAngleX,MinTiltAngleX,MaxZ,MaxTiltAngleY,MinTiltAngleY,AverageTiltAngleY,MaxTiltAngleZ,MinTiltAngleZ,AverageTiltAngleZ,MinX,MinY,MinZ,AverageX,AverageY,AverageZ,Situation,Activity
9102016,4,482,513.1286388,496.4916918,22.5013172,16.63694707,0.007867134,-0.001016946,-0.009928051,189,1.255390247,1.188071847,1.215618235,0.382718785,0.315378567,0.355148162,-5,467,154,-0.516129032,474.6290323,176.0483871,휴식,앉아 있음
9102016,29,527,529.3335432,480.6370772,22.53053994,48.69646602,0.055231634,0.013601671,-0.003982455,154,1.476863392,1.258453742,1.291061213,0.312281332,0.076216606,0.278928701,-2,466,40,6.896103896,487.6103896,139.6103896,휴식,앉아 있음
9102016,292,672,994.5878543,258.2750472,23.74197951,736.3128072,0.672292282,-0.136649646,-0.502119789,928,1.516310926,0.250326289,0.904589179,1.202799357,0.040452687,0.605401198,-340,175,22,-86.53947368,392.1973684,317.8552632,휴식,앉아 있음
9102016,148,549,712.9502086,339.0855349,21.56280432,373.8646737,0.35302393,0.045864937,-0.271814572,520,1.044160159,0.344501861,0.730568542,1.192237727,0.476100421,0.804706464,-147,152,211,15.94285714,312.3,325.3285714,휴식,앉아 있음
9102016,50,423,688.9194438,284.1232127,22.14616497,404.7962311,0.093358155,-0.187825844,-0.412531853,641,0.90310136,-0.355137231,0.387147864,1.550230584,0.662732061,1.024331346,-193,-221,229,-94.5,149.8421053,417.2368421,용접,앉아서 용접
9102016,3,211,654.0565725,477.329027,23.46610651,176.7275455,0.005204742,-0.161375199,-0.249544345,632,0.425350623,-0.024890258,0.215674372,1.401535094,1.105587267,1.283424744,-148,-13,440,-88.25641026,115.0128205,528.3717949,용접,앉아서 용접
9102016,-12,211,574.8765085,472.6235288,22.81320994,102.2529797,-0.022990953,-0.108072916,-0.207057791,551,0.391994123,0.15444619,0.287864841,1.412957341,1.152321661,1.258214032,-102,81,442,-55.21052632,147.4342105,494.5789474,용접,앉아서 용접
9102016,4,184,547.9051013,494.2762386,22.79688645,53.62886272,0.007682786,-0.113285405,-0.191882641,528,0.360295766,0.188127922,0.292030381,1.375044641,1.173934633,1.253954247,-98,98,459,-58.40506329,149.2658228,493.3037975,용접,앉아서 용접
9102016,-14,199,558.6966977,496.1673105,22.89478837,62.52938719,-0.02551299,-0.132854513,-0.230245017,528,0.383452165,0.239490559,0.308068555,1.316394253,1.140275714,1.230213426,-120,124,460,-69.12676056,158.7887324,493.6478873,용접,앉아서 용접
9102016,-27,373,707.4602462,431.2447101,24.08224627,276.2155361,-0.061918982,-0.233867263,-0.424547663,658,0.730687137,0.166287478,0.393490068,1.373707985,0.810507157,1.091755898,-276,106,324,-135.525641,216,512.8076923,용접,앉아서 용접
9102016,40,402,594.4796044,301.8227957,21.71835475,292.6568087,0.075648157,-0.124723072,-0.348904786,581,0.901840504,0.058285423,0.564197173,1.482637251,0.667873963,0.97294103,-169,30,202,-56.55263158,235.3157895,384.8947368,용접,서서 용접
9102016,28,124,541.8219265,506.6655702,22.91561602,35.15635629,0.055008601,-0.095508852,-0.183028791,535,0.231848577,0.020303268,0.097332161,1.494966813,1.337226267,1.41621362,-97,11,503,-50.20512821,50.93589744,518.6282051,용접,서서 용접
9102016,-10,92,577.1386315,489.8091465,22.82924808,87.32948502,-0.019629868,-0.09219558,-0.201103588,567,0.1869101,-0.067223454,0.079313793,1.533570804,1.349321069,1.441080985,-113,-38,481,-48.10958904,40.50684932,516.4931507,용접,서서 용접
